analytics_type,classification,first_timestamp,http_status,interval,last_timestamp,lower_bound_honored,maximum_timestamp,minimum_timestamp,null_nonfinite_count,pass,protected_2026_rows,request_id,request_started_utc,request_url,response_bytes,response_content_type,response_sha256,row_count,schema_keys,server_error_fields,since,symbol,timestamp_unit_status,to,upper_bound_honored,year
future-basis,verified_historical_rows,2024-06-15T00:00:00Z,200,3600,2024-06-16T00:00:00Z,True,2024-06-16T00:00:00Z,2024-06-15T00:00:00Z,0,1,0,pf_xbtusd__future-basis__2024,2026-07-17T19:18:18.493680Z,https://futures.kraken.com/api/charts/v1/analytics/PF_XBTUSD/future-basis?interval=3600&since=1718409600&to=1718496000,575,application/json,6cede9f58f7c54ef67d36cacafef7f1b8c3b37b60b7d304caea89bdb8fa6df97,25,errors|result|result.data|result.data.basis|result.more|result.timestamp,[],1718409600,PF_XBTUSD,verified_documented_seconds,1718496000,True,2024
future-basis,verified_historical_rows,2025-07-15T00:00:00Z,200,3600,2025-07-16T00:00:00Z,True,2025-07-16T00:00:00Z,2025-07-15T00:00:00Z,0,1,0,pf_xbtusd__future-basis__2025,2026-07-17T19:18:18.903719Z,https://futures.kraken.com/api/charts/v1/analytics/PF_XBTUSD/future-basis?interval=3600&since=1752537600&to=1752624000,570,application/json,26f50e6d971a506d11d96617eb7d7eea9524085b8a549b769d4ef78ef13633cf,25,errors|result|result.data|result.data.basis|result.more|result.timestamp,[],1752537600,PF_XBTUSD,verified_documented_seconds,1752624000,True,2025
open-interest,verified_historical_rows,2023-06-15T00:00:00Z,200,3600,2023-06-16T00:00:00Z,True,2023-06-16T00:00:00Z,2023-06-15T00:00:00Z,0,1,0,pf_ethusd__open-interest__2023,2026-07-17T19:18:19.325286Z,https://futures.kraken.com/api/charts/v1/analytics/PF_ETHUSD/open-interest?interval=3600&since=1686787200&to=1686873600,1565,application/json,d2dc428dfa23f52f6c2b3b5434fc4868b9080a2f3e39fdbf84720ae65c70ecd4,25,errors|result|result.data|result.more|result.timestamp,[],1686787200,PF_ETHUSD,verified_documented_seconds,1686873600,True,2023
open-interest,verified_historical_rows,2024-06-15T00:00:00Z,200,3600,2024-06-16T00:00:00Z,True,2024-06-16T00:00:00Z,2024-06-15T00:00:00Z,0,1,0,pf_ethusd__open-interest__2024,2026-07-17T19:18:19.840354Z,https://futures.kraken.com/api/charts/v1/analytics/PF_ETHUSD/open-interest?interval=3600&since=1718409600&to=1718496000,1582,application/json,f4544eeb3a29979aded55207dac6efdce948ef0ff29a33250d07413cab5845a7,25,errors|result|result.data|result.more|result.timestamp,[],1718409600,PF_ETHUSD,verified_documented_seconds,1718496000,True,2024
open-interest,verified_historical_rows,2025-07-15T00:00:00Z,200,3600,2025-07-16T00:00:00Z,True,2025-07-16T00:00:00Z,2025-07-15T00:00:00Z,0,1,0,pf_ethusd__open-interest__2025,2026-07-17T19:18:20.350433Z,https://futures.kraken.com/api/charts/v1/analytics/PF_ETHUSD/open-interest?interval=3600&since=1752537600&to=1752624000,1577,application/json,7be20462a663e6432cfa57bb64c00ce366a080e43c17a5fb8bf7ea80134068ae,25,errors|result|result.data|result.more|result.timestamp,[],1752537600,PF_ETHUSD,verified_documented_seconds,1752624000,True,2025
funding,empty_valid_response,,200,3600,,True,,,,1,0,pf_ethusd__funding__2023,2026-07-17T19:18:20.848765Z,https://futures.kraken.com/api/charts/v1/analytics/PF_ETHUSD/funding?interval=3600&since=1686787200&to=1686873600,89,application/json,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,0,errors|result|result.data|result.data.rate|result.data.relativeRate|result.more|result.timestamp,[],1686787200,PF_ETHUSD,unavailable,1686873600,True,2023
funding,empty_valid_response,,200,3600,,True,,,,1,0,pf_ethusd__funding__2024,2026-07-17T19:18:21.254360Z,https://futures.kraken.com/api/charts/v1/analytics/PF_ETHUSD/funding?interval=3600&since=1718409600&to=1718496000,89,application/json,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,0,errors|result|result.data|result.data.rate|result.data.relativeRate|result.more|result.timestamp,[],1718409600,PF_ETHUSD,unavailable,1718496000,True,2024
funding,empty_valid_response,,200,3600,,True,,,,1,0,pf_ethusd__funding__2025,2026-07-17T19:18:21.590131Z,https://futures.kraken.com/api/charts/v1/analytics/PF_ETHUSD/funding?interval=3600&since=1752537600&to=1752624000,89,application/json,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,0,errors|result|result.data|result.data.rate|result.data.relativeRate|result.more|result.timestamp,[],1752537600,PF_ETHUSD,unavailable,1752624000,True,2025
liquidation-volume,verified_historical_rows,2023-06-15T00:00:00Z,200,3600,2023-06-16T00:00:00Z,True,2023-06-16T00:00:00Z,2023-06-15T00:00:00Z,0,1,0,pf_ethusd__liquidation-volume__2023,2026-07-17T19:18:21.977582Z,https://futures.kraken.com/api/charts/v1/analytics/PF_ETHUSD/liquidation-volume?interval=3600&since=1686787200&to=1686873600,467,application/json,99365062dcbf049fea1cce4bca23ac33f248dcf4e0236b1e814ec7b1511e66b6,25,errors|result|result.data|result.more|result.timestamp,[],1686787200,PF_ETHUSD,verified_documented_seconds,1686873600,True,2023
liquidation-volume,verified_historical_rows,2024-06-15T00:00:00Z,200,3600,2024-06-16T00:00:00Z,True,2024-06-16T00:00:00Z,2024-06-15T00:00:00Z,0,1,0,pf_ethusd__liquidation-volume__2024,2026-07-17T19:18:23.047289Z,https://futures.kraken.com/api/charts/v1/analytics/PF_ETHUSD/liquidation-volume?interval=3600&since=1718409600&to=1718496000,458,application/json,2cb8230c6ff42b0cb2a6df1d4dfde54695c0819a2465479d59a787f5e13670a8,25,errors|result|result.data|result.more|result.timestamp,[],1718409600,PF_ETHUSD,verified_documented_seconds,1718496000,True,2024
liquidation-volume,verified_historical_rows,2025-07-15T00:00:00Z,200,3600,2025-07-16T00:00:00Z,True,2025-07-16T00:00:00Z,2025-07-15T00:00:00Z,0,1,0,pf_ethusd__liquidation-volume__2025,2026-07-17T19:18:23.523709Z,https://futures.kraken.com/api/charts/v1/analytics/PF_ETHUSD/liquidation-volume?interval=3600&since=1752537600&to=1752624000,510,application/json,5e094c619a6c18c71c592bb6121d9656daf0a94b1453fee67d9eb0fb3e728777,25,errors|result|result.data|result.more|result.timestamp,[],1752537600,PF_ETHUSD,verified_documented_seconds,1752624000,True,2025
future-basis,verified_historical_rows,2023-06-15T00:00:00Z,200,3600,2023-06-16T00:00:00Z,True,2023-06-16T00:00:00Z,2023-06-15T00:00:00Z,0,1,0,pf_ethusd__future-basis__2023,2026-07-17T19:18:24.022400Z,https://futures.kraken.com/api/charts/v1/analytics/PF_ETHUSD/future-basis?interval=3600&since=1686787200&to=1686873600,570,application/json,266e38f89eb8e1dabc4801c75afcbf10fe0d63b9f8ce4f232fa0769b552dd8b5,25,errors|result|result.data|result.data.basis|result.more|result.timestamp,[],1686787200,PF_ETHUSD,verified_documented_seconds,1686873600,True,2023
future-basis,verified_historical_rows,2024-06-15T00:00:00Z,200,3600,2024-06-16T00:00:00Z,True,2024-06-16T00:00:00Z,2024-06-15T00:00:00Z,0,1,0,pf_ethusd__future-basis__2024,2026-07-17T19:18:24.408501Z,https://futures.kraken.com/api/charts/v1/analytics/PF_ETHUSD/future-basis?interval=3600&since=1718409600&to=1718496000,570,application/json,79df958dcce58ddd252881efc11f0336662e46b68c5bf5cebafce40d2bd8a9e0,25,errors|result|result.data|result.data.basis|result.more|result.timestamp,[],1718409600,PF_ETHUSD,verified_documented_seconds,1718496000,True,2024
future-basis,verified_historical_rows,2025-07-15T00:00:00Z,200,3600,2025-07-16T00:00:00Z,True,2025-07-16T00:00:00Z,2025-07-15T00:00:00Z,0,1,0,pf_ethusd__future-basis__2025,2026-07-17T19:18:25.063256Z,https://futures.kraken.com/api/charts/v1/analytics/PF_ETHUSD/future-basis?interval=3600&since=1752537600&to=1752624000,570,application/json,b8c93c887068f7838c803384358b3d39bc303a0ac348569d7474c2071fa0cdf8,25,errors|result|result.data|result.data.basis|result.more|result.timestamp,[],1752537600,PF_ETHUSD,verified_documented_seconds,1752624000,True,2025
open-interest,verified_historical_rows,2023-06-15T00:00:00Z,200,3600,2023-06-16T00:00:00Z,True,2023-06-16T00:00:00Z,2023-06-15T00:00:00Z,0,2,0,pf_xbtusd__open-interest__2023,2026-07-17T19:18:25.260934Z,https://futures.kraken.com/api/charts/v1/analytics/PF_XBTUSD/open-interest?interval=3600&since=1686787200&to=1686873600,1570,application/json,19e4ce8630356020245c9b0fcc98529e095d3b4acf4c5241f1f81840cf469da7,25,errors|result|result.data|result.more|result.timestamp,[],1686787200,PF_XBTUSD,verified_documented_seconds,1686873600,True,2023
open-interest,verified_historical_rows,2024-06-15T00:00:00Z,200,3600,2024-06-16T00:00:00Z,True,2024-06-16T00:00:00Z,2024-06-15T00:00:00Z,0,2,0,pf_xbtusd__open-interest__2024,2026-07-17T19:18:25.709098Z,https://futures.kraken.com/api/charts/v1/analytics/PF_XBTUSD/open-interest?interval=3600&since=1718409600&to=1718496000,1575,application/json,79d87c4948deaa9e786ef7818355193b0d49d884f9215ba52fdc1916ca3adb03,25,errors|result|result.data|result.more|result.timestamp,[],1718409600,PF_XBTUSD,verified_documented_seconds,1718496000,True,2024
open-interest,verified_historical_rows,2025-07-15T00:00:00Z,200,3600,2025-07-16T00:00:00Z,True,2025-07-16T00:00:00Z,2025-07-15T00:00:00Z,0,2,0,pf_xbtusd__open-interest__2025,2026-07-17T19:18:26.219343Z,https://futures.kraken.com/api/charts/v1/analytics/PF_XBTUSD/open-interest?interval=3600&since=1752537600&to=1752624000,1582,application/json,27a9a8942485c4582dbe7633f1477b7a8b3193b138ac18d680b3943075e804e6,25,errors|result|result.data|result.more|result.timestamp,[],1752537600,PF_XBTUSD,verified_documented_seconds,1752624000,True,2025
funding,empty_valid_response,,200,3600,,True,,,,2,0,pf_xbtusd__funding__2023,2026-07-17T19:18:26.729388Z,https://futures.kraken.com/api/charts/v1/analytics/PF_XBTUSD/funding?interval=3600&since=1686787200&to=1686873600,89,application/json,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,0,errors|result|result.data|result.data.rate|result.data.relativeRate|result.more|result.timestamp,[],1686787200,PF_XBTUSD,unavailable,1686873600,True,2023
funding,empty_valid_response,,200,3600,,True,,,,2,0,pf_xbtusd__funding__2024,2026-07-17T19:18:27.102381Z,https://futures.kraken.com/api/charts/v1/analytics/PF_XBTUSD/funding?interval=3600&since=1718409600&to=1718496000,89,application/json,5b83239da90473ffbccebca3c85be133404d553b87d1d2190e3d8bad33eef915,0,errors|result|result.data|result.data.rate|result.data.relativeRate|result.more|result.timestamp,[],1718409600,PF_XBTUSD,unavailable,1718496000,True,2024
